case_id,case_context_de,question_a_de,question_b_de,review_unit_hash,preferred_next_action,relevant_to_case,critical_gate_skipped,asks_documented_information,answerable_or_handles_unknown,rationale
RWDR-SHADOW-011,"Dokumentierter CaseState: Dichtungstyp=rwdr; Anwendungsziel=Neuauslegung; Medium=Hydrauliköl HLP 46; Druckregime=0,2 bar Differenzdruck; Wellendurchmesser=50 mm; Drehzahl=1500 U/min.","Welche minimale, normale und maximale Temperatur ist im Dauerbetrieb und bei Spitzen an der Dichtkante zu erwarten?",Welcher Differenzdruck liegt an?,c055b2617887768fc46e490a031ddb840133df8b48b8deeaf1564f243a90ba45,A,A,B,B,both,"Der Differenzdruck ist mit 0,2 bar bereits dokumentiert, wodurch Frage B redundant ist. Die Temperatur an der Dichtkante (Frage A) ist noch völlig offen. Ein Anwender kann beide Fragestellungen klar beantworten."
RWDR-SHADOW-012,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Anwendungsziel=Austausch einer bestehenden Dichtung; Medium=Getriebeöl CLP 220; Druckregime=weitgehend drucklos; Wellendurchmesser=80 mm; Drehzahl=900 U/min.,Welcher Differenzdruck liegt an?,"Welche minimale, normale und maximale Temperatur ist im Dauerbetrieb und bei Spitzen an der Dichtkante zu erwarten?",d7e6464c95c0bf68b572a51bbc411628221473d0e375b8f33440d341092ffdb3,B,B,A,A,both,Das Druckregime ist als weitgehend drucklos spezifiziert. Frage A ist redundant. Das Temperaturprofil (Frage B) ist die wichtigste fehlende Auslegungsgröße für den Austausch. Beide Fragen sind für den Nutzer beantwortbar.
RWDR-SHADOW-013,"Dokumentierter CaseState: Dichtungstyp=RWDR; Anwendungsziel=Analyse eines Leckageschadens; Medium=Wasser-Glykol HFC; Druckregime=1,0 bar Differenzdruck; Wellendurchmesser=45 mm; Drehzahl=3000 U/min.",Welcher Differenzdruck liegt an?,"Welche minimale, normale und maximale Temperatur ist im Dauerbetrieb und bei Spitzen an der Dichtkante zu erwarten?",66b5ebb9d58983a8912dd544b1df56db8ffa219d65d6dab76bc5a7fe89c5c728,B,B,A,A,both,"Der Differenzdruck ist mit 1,0 bar bereits bekannt. Frage A ist redundant. Die Temperaturentwicklung unter Berücksichtigung von Reibungserwärmung (Frage B) ist kritisch für die Schadensanalyse. Beide Fragen sind beantwortbar."
RWDR-SHADOW-014,"Dokumentierter CaseState: Dichtungstyp=Simmerring; Anwendungsziel=Retrofit in vorhandenem Einbauraum; Medium=synthetisches Esteröl ISO VG 46; Druckregime=0,5 bar Differenzdruck; Wellendurchmesser=35 mm; Drehzahl=1800 U/min.","Welche minimale, normale und maximale Temperatur ist im Dauerbetrieb und bei Spitzen an der Dichtkante zu erwarten?",Welcher Differenzdruck liegt an?,dca283c4ce46e7b88962c063cfdbf82dd31cf380343ee39da27a345424d4276c,A,A,B,B,both,"0,5 bar Differenzdruck sind bereits dokumentiert. Frage B ist eine Doppelabfrage. Das Temperaturprofil (Frage A) fehlt gänzlich und ist für die Elastomerkompatibilität zwingend erforderlich. Beide Fragen sind beantwortbar."
RWDR-SHADOW-015,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Anwendungsziel=Lebensdaueroptimierung; Medium=Schmierfett NLGI 2; Druckregime=druckloser Betrieb; Wellendurchmesser=120 mm; Drehzahl=450 U/min.,"Welche minimale, normale und maximale Temperatur ist im Dauerbetrieb und bei Spitzen an der Dichtkante zu erwarten?",Welcher Differenzdruck liegt an?,76f7f0b53bbd13472ef24d6e570b8b886c85844963a6ea14a08fd29aabffc576,A,A,B,B,both,Der drucklose Betrieb ist spezifiziert. Frage B ist somit überflüssig. Das Temperaturprofil an der Reibstelle (Frage A) beeinflusst die Fettlebensdauer maßgeblich. Für den Nutzer sind beide Fragestellungen voll beantwortbar.
RWDR-SHADOW-016,Dokumentierter CaseState: Dichtungstyp=rwdr; Anwendungsziel=Neuauslegung; Medium=Hydrauliköl HLP 46; Betriebstemperatur=80 °C; Wellendurchmesser=50 mm; Drehzahl=1500 U/min.,"Gibt es auf der Medienseite einen relevanten Differenzdruck, Druckspitzen oder weitgehend drucklosen Betrieb? Bitte Normal- und Maximalwert sowie die Druckrichtung angeben.",Welcher Wellendurchmesser d1 ist vorhanden?,178c1c5b5426affbc94fcdb9715467494f5439ced788a37349312449cfa085fd,A,A,B,B,both,Der Wellendurchmesser von 50 mm steht bereits fest (Frage B ist redundant). Zur Auslegung der Dichtlippengeometrie ist die Klärung des Druckregimes (Frage A) essenziell. Beide Fragen sind für den Fachanwender klar beantwortbar.
RWDR-SHADOW-017,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Anwendungsziel=Austausch einer bestehenden Dichtung; Medium=Getriebeöl CLP 220; Betriebstemperatur=95 °C; Wellendurchmesser=80 mm; Drehzahl=900 U/min.,Welcher Wellendurchmesser d1 ist vorhanden?,"Gibt es auf der Medienseite einen relevanten Differenzdruck, Druckspitzen oder weitgehend drucklosen Betrieb? Bitte Normal- und Maximalwert sowie die Druckrichtung angeben.",37cfbb94595b54fec7e062356778a065159b4d854a3be60761ceca5475052426,B,B,A,A,both,Der Wellendurchmesser ist mit 80 mm dokumentiert. Frage A ist somit redundant. Die Klärung des Druckregimes (Frage B) ist der notwendige nächste Schritt zur Festlegung der Bauform. Beide Fragen sind beantwortbar.
RWDR-SHADOW-018,Dokumentierter CaseState: Dichtungstyp=RWDR; Anwendungsziel=Analyse eines Leckageschadens; Medium=Wasser-Glykol HFC; Betriebstemperatur=60 °C; Wellendurchmesser=45 mm; Drehzahl=3000 U/min.,Welcher Wellendurchmesser d1 ist vorhanden?,"Gibt es auf der Medienseite einen relevanten Differenzdruck, Druckspitzen oder weitgehend drucklosen Betrieb? Bitte Normal- und Maximalwert sowie die Druckrichtung angeben.",cd5acf36f6688ab0e0d987d95272fe61bfeff1f78114852b5726134efdf886d5,B,B,A,A,both,"Der Wellendurchmesser (45 mm) ist bekannt. Frage A ist redundant. Frage B ist elementar, da hydrostatischer oder dynamischer Druck die Hauptursachen für Leckagen sein können. Beide Fragen sind für den Nutzer beantwortbar."
RWDR-SHADOW-019,Dokumentierter CaseState: Dichtungstyp=Simmerring; Anwendungsziel=Retrofit in vorhandenem Einbauraum; Medium=synthetisches Esteröl ISO VG 46; Betriebstemperatur=110 °C; Wellendurchmesser=35 mm; Drehzahl=1800 U/min.,"Gibt es auf der Medienseite einen relevanten Differenzdruck, Druckspitzen oder weitgehend drucklosen Betrieb? Bitte Normal- und Maximalwert sowie die Druckrichtung angeben.",Welcher Wellendurchmesser d1 ist vorhanden?,224a8be7245c06129e5e9b399548a47123c0889e9ffa0cd9b4258dfd7a0dbf96,A,A,B,B,both,Die Welle ist mit d1=35 mm bereits geometrisch definiert (Frage B redundant). Das Druckregime (Frage A) bestimmt die Bauform. Unabhängig von der Redundanz sind beide Einzelfragen für den Anwender beantwortbar.
RWDR-SHADOW-020,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Anwendungsziel=Lebensdaueroptimierung; Medium=Schmierfett NLGI 2; Betriebstemperatur=70 °C; Wellendurchmesser=120 mm; Drehzahl=450 U/min.,Welcher Wellendurchmesser d1 ist vorhanden?,"Gibt es auf der Medienseite einen relevanten Differenzdruck, Druckspitzen oder weitgehend drucklosen Betrieb? Bitte Normal- und Maximalwert sowie die Druckrichtung angeben.",ca86fe1e4fb0a48103bfd6d5b6959d61eefbfd087c586e9858fe3b96a9e68547,B,B,A,A,both,"Der Wellendurchmesser ist mit 120 mm bereits im System hinterlegt. Frage A ist redundant. Das Druckregime (Frage B) muss verifiziert werden, um das Risiko von axialem Auswandern zu prüfen. Beide Fragen sind beantwortbar."
RWDR-SHADOW-021,"Dokumentierter CaseState: Dichtungstyp=rwdr; Anwendungsziel=Neuauslegung; Medium=Hydrauliköl HLP 46; Betriebstemperatur=80 °C; Druckregime=0,2 bar Differenzdruck; Drehzahl=1500 U/min.",Welche Drehzahl liegt im Normalbetrieb an?,Wie groß ist der Wellendurchmesser d1 direkt an der Dichtlaufspur?,5611d8d5a7cd0f3c107cef3ccfa9facbbe124c82ce3f3460fa9a1d081b11b305,B,B,A,A,both,Die Drehzahl von 1500 U/min ist bereits bekannt. Frage A fragt diese redundant ab. Der Wellendurchmesser (Frage B) fehlt völlig und ist für die Bestimmung der Gleitgeschwindigkeit absolut kritisch. Beide Fragen sind beantwortbar.
RWDR-SHADOW-022,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Anwendungsziel=Austausch einer bestehenden Dichtung; Medium=Getriebeöl CLP 220; Betriebstemperatur=95 °C; Druckregime=weitgehend drucklos; Drehzahl=900 U/min.,Wie groß ist der Wellendurchmesser d1 direkt an der Dichtlaufspur?,Welche Drehzahl liegt im Normalbetrieb an?,af816cab2e4941fd6600fcae6328f5448a10e27f5bbf080481e67ee4af5b8e10,A,A,B,B,both,Die Drehzahl ist mit 900 U/min dokumentiert. Frage B ist eine redundante Abfrage. Die geometrische Basisgröße der Welle (Frage A) muss zwingend bestimmt werden. Beide Fragestellungen sind für den Anwender klar beantwortbar.
RWDR-SHADOW-023,"Dokumentierter CaseState: Dichtungstyp=RWDR; Anwendungsziel=Analyse eines Leckageschadens; Medium=Wasser-Glykol HFC; Betriebstemperatur=60 °C; Druckregime=1,0 bar Differenzdruck; Drehzahl=3000 U/min.",Welche Drehzahl liegt im Normalbetrieb an?,Wie groß ist der Wellendurchmesser d1 direkt an der Dichtlaufspur?,8a72143f0a86a0d324ab786f6453b1113ae01800654f729402679f8ab019be75,B,B,A,A,both,Die Drehzahl von 3000 U/min ist im CaseState hinterlegt. Frage A ist somit redundant. Der Wellendurchmesser (Frage B) ist zwingend zur Berechnung der Umfangsgeschwindigkeit nötig. Beide Fragen sind beantwortbar.
RWDR-SHADOW-024,"Dokumentierter CaseState: Dichtungstyp=Simmerring; Anwendungsziel=Retrofit in vorhandenem Einbauraum; Medium=synthetisches Esteröl ISO VG 46; Betriebstemperatur=110 °C; Druckregime=0,5 bar Differenzdruck; Drehzahl=1800 U/min.",Wie groß ist der Wellendurchmesser d1 direkt an der Dichtlaufspur?,Welche Drehzahl liegt im Normalbetrieb an?,e63c0d44aec5fd04f162da0c795f824b8a7280a0b00b325f689beb7b263bb596,A,A,B,B,both,"Die Drehzahl (1800 U/min) ist definiert, was Frage B überflüssig macht. Ohne die Abfrage des Wellendurchmessers (Frage A) können weder Einbauraum noch Gleitgeschwindigkeit ermittelt werden. Beantwortbar sind beide Fragen."
RWDR-SHADOW-025,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Anwendungsziel=Lebensdaueroptimierung; Medium=Schmierfett NLGI 2; Betriebstemperatur=70 °C; Druckregime=druckloser Betrieb; Drehzahl=450 U/min.,Wie groß ist der Wellendurchmesser d1 direkt an der Dichtlaufspur?,Welche Drehzahl liegt im Normalbetrieb an?,1ed75f8e2103bfe23b50ecc9f888e35c5fae09c766c68526ccb567ca4eb2fa6b,A,A,B,B,both,"Die Drehzahl ist mit 450 U/min bekannt. Frage B ist eine Doppelabfrage. Frage A ist hochrelevant, da der Wellendurchmesser für die Schmierung im Dichtspalt maßgebend ist. Beide Fragen sind technisch beantwortbar."
RWDR-SHADOW-026,"Dokumentierter CaseState: Dichtungstyp=rwdr; Anwendungsziel=Neuauslegung; Medium=Hydrauliköl HLP 46; Betriebstemperatur=80 °C; Druckregime=0,2 bar Differenzdruck; Wellendurchmesser=50 mm.","Geht es bei diesem Anwendungsfall um Neuauslegung, Austausch oder Schadensanalyse?","Welche Drehzahl liegt im Normalbetrieb und maximal an, und ist die Drehrichtung gleichbleibend oder reversierend?",fc080b88b23453ae77ca9d87268b72e20783e9bd80bf7a34217b600a1c7adf37,B,B,A,A,both,Das Anwendungsziel 'Neuauslegung' ist bereits dokumentiert. Frage A stellt somit eine redundante Abfrage dar. Die Drehzahl sowie Dynamik (Frage B) fehlen völlig und sind zur Materialwahl zwingend. Beide Fragen sind beantwortbar.
RWDR-SHADOW-027,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Anwendungsziel=Austausch einer bestehenden Dichtung; Medium=Getriebeöl CLP 220; Betriebstemperatur=95 °C; Druckregime=weitgehend drucklos; Wellendurchmesser=80 mm.,"Welche Drehzahl liegt im Normalbetrieb und maximal an, und ist die Drehrichtung gleichbleibend oder reversierend?","Geht es bei diesem Anwendungsfall um Neuauslegung, Austausch oder Schadensanalyse?",905b9cca74389fb33767da2f65852e3a8bfee916e08bcb46dee4f9d7d0ee38a3,A,A,B,B,both,Das Anwendungsziel (Austausch) ist definiert. Frage B ist redundant. Frage A ermittelt die kritischen dynamischen Parameter zur Bestimmung des Rückförderdralls. Für den Anwender sind beide Fragen problemlos beantwortbar.
RWDR-SHADOW-028,"Dokumentierter CaseState: Dichtungstyp=RWDR; Anwendungsziel=Analyse eines Leckageschadens; Medium=Wasser-Glykol HFC; Betriebstemperatur=60 °C; Druckregime=1,0 bar Differenzdruck; Wellendurchmesser=45 mm.","Welche Drehzahl liegt im Normalbetrieb und maximal an, und ist die Drehrichtung gleichbleibend oder reversierend?","Geht es bei diesem Anwendungsfall um Neuauslegung, Austausch oder Schadensanalyse?",ec635c35c504b2715a9666ea8b721fa6d29d7baf13e0da39c46b04e4776946b6,A,A,B,B,both,Das Schadensanalyseziel ist bekannt. Frage B ist somit redundant. Frage A klärt die für die Schadensbewertung hochrelevante Drehrichtung und Drehzahl. Beide Einzelfragen sind für einen kompetenten Anwender klar beantwortbar.
RWDR-SHADOW-029,"Dokumentierter CaseState: Dichtungstyp=Simmerring; Anwendungsziel=Retrofit in vorhandenem Einbauraum; Medium=synthetisches Esteröl ISO VG 46; Betriebstemperatur=110 °C; Druckregime=0,5 bar Differenzdruck; Wellendurchmesser=35 mm.","Geht es bei diesem Anwendungsfall um Neuauslegung, Austausch oder Schadensanalyse?","Welche Drehzahl liegt im Normalbetrieb und maximal an, und ist die Drehrichtung gleichbleibend oder reversierend?",8fb3ac0f6521a7da072f6418ed7308e1cf4ee58f19eeeb3c07c73452eac56685,B,B,A,A,both,"Das Retrofit-Ziel ist als Anwendungsziel dokumentiert. Frage A ist redundant. Die Drehzahl und Drehrichtung (Frage B) müssen dringend geklärt werden, um Rückförderstrukturen festzulegen. Beide Fragen sind valide beantwortbar."
RWDR-SHADOW-030,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Anwendungsziel=Lebensdaueroptimierung; Medium=Schmierfett NLGI 2; Betriebstemperatur=70 °C; Druckregime=druckloser Betrieb; Wellendurchmesser=120 mm.,"Geht es bei diesem Anwendungsfall um Neuauslegung, Austausch oder Schadensanalyse?","Welche Drehzahl liegt im Normalbetrieb und maximal an, und ist die Drehrichtung gleichbleibend oder reversierend?",5a608e979aa092db0127c4cd238be4878b1f7f44c902301fe61e56715f64b3ca,B,B,A,A,both,"Das Ziel der Lebensdaueroptimierung liegt bereits vor, womit Frage A redundant ist. Die Klärung von Drehzahl und Drehrichtung (Frage B) ist für das tribologische Verhalten essenziell. Beide Fragestellungen sind beantwortbar."
